p_pictureid,p_name,p_type,p_releasedate,p_agerating,p_genre
ts300399,Five Came Back: The Reference Films,SHOW,1945,TV-MA,documentation
tm84618,Taxi Driver,MOVIE,1976,R,"drama, crime"
tm154986,Deliverance,MOVIE,1972,R,"drama, action, thriller, european"
tm127384,Monty Python and the Holy Grail,MOVIE,1975,PG,"fantasy, action, comedy"
tm120801,The Dirty Dozen,MOVIE,1967,,"war, action"
ts22164,Monty Python's Flying Circus,SHOW,1969,TV-14,"comedy, european"
tm70993,Life of Brian,MOVIE,1979,R,comedy
tm14873,Dirty Harry,MOVIE,1971,R,"thriller, action, crime"
tm119281,Bonnie and Clyde,MOVIE,1967,R,"crime, drama, action"
tm98978,The Blue Lagoon,MOVIE,1980,R,"romance, action, drama"
tm44204,The Guns of Navarone,MOVIE,1961,,"action, drama, war"
tm67378,The Professionals,MOVIE,1966,PG-13,"western, action, european"
tm69997,Richard Pryor: Live in Concert,MOVIE,1979,R,"comedy, documentation"
tm16479,White Christmas,MOVIE,1954,,"romance, comedy"
tm135083,Cairo Station,MOVIE,1958,,"drama, crime, comedy"
tm89386,Hitler: A Career,MOVIE,1977,PG,"history, documentation, european"
tm156453,FTA,MOVIE,1972,R,"war, documentation, music, comedy"
tm14350,Alexandria… Why?,MOVIE,1979,,drama
tm81728,The Land,MOVIE,1969,,drama
tm94651,Dostana,MOVIE,1980,,"drama, comedy, crime, romance, action"
tm27298,Saladin the Victorious,MOVIE,1963,,"action, drama, war, history, romance"
tm100027,Alibaba Aur 40 Chor,MOVIE,1979,,"drama, romance, action, fantasy, family"
tm19608,The Blazing Sun,MOVIE,1954,,"crime, romance, drama"
tm204541,Dark Waters,MOVIE,1956,,"action, drama, romance, thriller"
tm259855,We Are All for the Fatherland,MOVIE,1979,,documentation
tm356209,Singapore,MOVIE,1960,,"drama, thriller, crime"
ts45948,Monty Python's Fliegender Zirkus,SHOW,1972,TV-MA,comedy
tm200475,"Beirut, Oh Beirut",MOVIE,1975,,drama
tm90896,The Return of the Prodigal Son,MOVIE,1976,,"music, drama, crime"
