sa_id,p_id,sa_netflix,sa_hulu,sa_primevid,sa_disney
0,ts300399,1,0,0,0
1,tm84618,1,0,0,0
2,tm154986,1,0,0,0
3,tm127384,1,0,0,0
4,tm120801,1,0,0,0
5,ts22164,1,0,0,0
6,tm70993,1,0,0,0
7,tm14873,1,0,0,0
8,tm119281,1,0,0,0
9,tm98978,1,0,0,0
10,tm44204,1,0,0,0
11,tm67378,1,0,0,0
12,tm69997,1,0,0,0
13,tm16479,1,0,0,0
14,tm135083,1,0,0,0
15,tm89386,1,0,0,0
16,tm156453,1,0,0,0
17,tm14350,1,0,0,0
18,tm81728,1,0,0,0
19,tm94651,1,0,0,0
20,tm27298,1,0,0,0
21,tm100027,1,0,0,0
22,tm19608,1,0,0,0
23,tm204541,1,0,0,0
24,tm259855,1,0,0,0
25,tm356209,1,0,0,0
26,ts45948,1,0,0,0
27,tm200475,1,0,0,0
28,tm90896,1,0,0,0
29,tm336403,1,0,0,0
30,tm107372,1,0,0,0
31,tm358653,1,0,0,0
32,tm259684,1,0,0,0
33,tm403346,1,0,0,0
34,tm16812,1,0,0,0
35,ts20681,1,0,0,0
36,tm155787,1,0,0,0
37,tm22327,1,0,0,0
38,tm180542,1,0,0,0
39,tm138875,1,0,0,0
40,tm2386,1,0,0,0
41,tm133087,1,0,0,0
42,tm177480,1,0,0,0
43,tm54450,1,0,0,0
44,ts22082,1,0,0,0
45,ts21715,1,0,0,0
46,ts20678,1,0,0,0
47,tm145608,1,0,0,0
48,ts25028,1,0,0,0
49,tm147710,1,0,0,0
50,tm142895,1,0,0,0
51,tm20712,1,0,0,0
52,tm117580,1,0,0,0
53,ts23753,1,0,0,0
54,tm130586,1,0,0,0
55,ts987,1,0,0,0
56,tm721687,1,0,0,0
57,tm40103,1,0,0,0
58,tm125985,1,0,0,0
59,ts2760,1,0,0,0
60,tm21953,1,0,0,0
61,tm126769,1,0,0,0
62,tm152839,1,0,0,0
63,tm49037,1,0,0,0
64,tm62924,1,0,0,0
65,tm52815,1,0,0,0
66,tm159912,1,0,0,0
67,tm133914,1,0,0,0
68,tm38736,1,0,0,0
69,tm51083,1,0,0,0
70,tm137013,1,0,0,0
71,tm157603,1,0,0,0
72,tm258072,1,0,0,0
73,tm114356,1,0,0,0
74,tm157853,1,0,0,0
75,tm132164,1,0,0,0
76,tm446654,1,0,0,0
77,tm348735,1,0,0,0
78,tm151332,1,0,0,0
79,tm342996,1,0,0,0
80,tm24110,1,0,0,0
81,tm371359,1,0,0,0
82,tm55091,1,0,0,0
83,ts63001,1,0,0,0
84,tm311264,1,0,0,0
85,tm411457,1,0,0,0
86,tm172482,1,0,0,0
87,tm419052,1,0,0,0
88,tm47673,1,0,0,0
89,tm52274,1,0,0,0
90,tm147829,1,0,0,0
91,ts20981,1,0,0,0
92,tm107744,1,0,0,0
93,ts22176,1,0,0,0
94,tm15897,1,0,0,0
95,ts21223,1,0,0,0
96,tm191013,1,0,0,0
97,tm122434,1,0,0,0
98,tm25947,1,0,0,0
99,tm43808,1,0,0,0
100,ts20339,1,0,0,0
101,ts5145,1,0,0,0
102,tm191110,1,0,0,0
103,ts34435,1,0,0,0
104,tm192037,1,0,0,0
105,tm27395,1,0,0,0
106,tm113513,1,0,0,0
107,ts20983,1,0,0,0
108,tm192405,1,0,0,0
109,tm116655,1,0,0,0
110,ts21567,1,0,0,0
111,tm116488,1,0,0,0
112,tm11556,1,0,0,0
113,tm56574,1,0,0,0
114,ts20960,1,0,0,0
115,tm53991,1,0,0,0
116,tm49178,1,0,0,0
117,ts25252,1,0,0,0
118,tm191989,1,0,0,0
119,ts22193,1,0,0,0
120,ts22489,1,0,0,0
121,ts21034,1,0,0,0
122,tm121879,1,0,0,0
123,tm44402,1,0,0,0
124,tm187187,1,0,0,0
125,ts16919,1,0,0,0
126,tm6859,1,0,0,0
127,tm118238,1,0,0,0
128,tm111163,1,0,0,0
129,tm190835,1,0,0,0
130,tm192769,1,0,0,0
131,tm187791,1,0,0,0
132,tm113576,1,0,0,0
133,tm65686,1,0,0,0
134,ts8570,1,0,0,0
135,tm191387,1,0,0,0
136,ts27693,1,0,0,0
137,tm19494,1,0,0,0
138,tm191772,1,0,0,0
139,tm12499,1,0,0,0
140,tm186589,1,0,0,0
141,tm189764,1,0,0,0
142,tm10739,1,0,0,0
143,tm1822,1,0,0,0
144,tm55369,1,0,0,0
145,ts251477,1,0,0,0
146,tm192431,1,0,0,0
147,ts22286,1,0,0,0
148,tm192199,1,0,0,0
149,ts11397,1,0,0,0
150,tm56033,1,0,0,0
151,ts21581,1,0,0,0
152,tm117488,1,0,0,0
153,tm190811,1,0,0,0
154,tm191431,1,0,0,0
155,tm10811,1,0,0,0
156,tm49839,1,0,0,0
157,ts20918,1,0,0,0
158,ts21693,1,0,0,0
159,ts20939,1,0,0,0
160,ts21684,1,0,0,0
161,ts22080,1,0,0,0
162,tm67635,1,0,0,0
163,tm320211,1,0,0,0
164,tm7073,1,0,0,0
165,ts28516,1,0,0,0
166,tm117873,1,0,0,0
167,tm55100,1,0,0,0
168,tm64817,1,0,0,0
169,ts22039,1,0,0,0
170,tm188606,1,0,0,0
171,tm41525,1,0,0,0
172,tm189171,1,0,0,0
173,tm63514,1,0,0,0
174,tm21911,1,0,0,0
175,tm188970,1,0,0,0
176,tm12876,1,0,0,0
177,ts224786,1,0,0,0
178,tm62176,1,0,0,0
179,tm52871,1,0,0,0
180,tm8687,1,0,0,0
181,tm104933,1,0,0,0
182,tm184326,1,0,0,0
183,tm62385,1,0,0,0
184,tm191614,1,0,0,0
185,tm110766,1,0,0,0
186,tm9898,1,0,0,0
187,tm47530,1,0,0,0
188,tm57169,1,0,0,0
189,tm192301,1,0,0,0
190,tm58893,1,0,0,0
191,tm110160,1,0,0,0
192,tm118438,1,0,0,0
193,tm424630,1,0,0,0
194,tm27601,1,0,0,0
195,tm203186,1,0,0,0
196,tm128073,1,0,0,0
197,tm7951,1,0,0,0
198,tm7135,1,0,0,0
199,tm52083,1,0,0,0
200,tm340430,1,0,0,0
201,tm7032,1,0,0,0
202,tm256669,1,0,0,0
203,tm64729,1,0,0,0
204,tm184224,1,0,0,0
205,tm25389,1,0,0,0
206,tm34391,1,0,0,0
207,tm44776,1,0,0,0
208,tm334788,1,0,0,0
209,tm117840,1,0,0,0
